,initial_accuracy,final_accuracy,genealogy,net_depth_min,net_depth_max,net_depth_avg,num_conv_layers,num_inception_modules,num_pooling_layers,num_IP_layers,min_IP_neurons,max_IP_neurons,avg_IP_neurons,min_IP_weights,max_IP_weights,avg_IP_weights,num_splits,min_split_width,max_split_width,avg_split_width,num_concats,min_concat_width,max_concat_width,avg_concat_width,min_conv_ker_area,max_conv_ker_area,avg_conv_ker_area,num_conv_features,num_conv_features,avg_num_conv_features,prop_conv_into_pool,prop_pool_into_pool,prop_padded_conv,prop_same_padded_conv,prop_1x1_conv,prop_square_kernels,prop_horiz_kernels,prop_vert_kernels,num_relu,num_sigmoid,num_tanh,num_max_pool,num_avg_pool,num_stochastic_pool,min_grid_reduction_area_consecutive,max_grid_reduction_area_consecutive,avg_grid_reduction_area_consecutive,min_grid_reduction_height_consecutive,max_grid_reduction_height_consecutive,avg_grid_reduction_height_consecutive,min_grid_reduction_width_consecutive,max_grid_reduction_width_consecutive,avg_grid_reduction_width_consecutive,min_grid_reduction_area_total,max_grid_reduction_area_total,avg_grid_reduction_area_total,min_grid_reduction_height_total,max_grid_reduction_height_total,avg_grid_reduction_height_total,min_grid_reduction_width_total,max_grid_reduction_width_total,avg_grid_reduction_width_total,prop_nonoverlapping,min_stride_h,max_stride_h,avg_stride_h,min_stride_w,max_stride_w,avg_stride_w,min_ratio_features_to_depth,max_ratio_features_to_depth,avg_ratio_features_to_depth,min_ratio_features_to_kerArea,max_ratio_features_to_kerArea,avg_ratio_features_to_kerArea,min_ratio_features_to_kerWidth,max_ratio_features_to_kerWidth,avg_ratio_features_to_kerWidth,min_ratio_features_to_kerHeight,max_ratio_features_to_kerHeight,avg_ratio_features_to_kerHeight,min_ratio_kerArea_to_depth,max_ratio_kerArea_to_depth,avg_ratio_kerArea_to_depth,min_ratio_kerWidth_to_depth,max_ratio_kerWidth_to_depth,avg_ratio_kerWidth_to_depth,min_ratio_kerHeight_to_depth,max_ratio_kerHeight_to_depth,avg_ratio_kerHeight_to_depth
00001_00006_00000,0.00285,0.3392,00001,12,14,13.5,28,3,5,0,8,8,8.0,2048,2048,2048.0,6,2,4,3.3333333333333335,8,2,4,2.75,1.0,49.0,56.5,7.0,128.0,56.5,0.17857142857142858,0.0,0.42857142857142855,0.0,0.5714285714285714,0.8181818181818182,0.12121212121212122,0.06060606060606061,24,0,0,5,0,0,0.05128205128205132,0.7660545092993333,0.25616346341472335,0.0,0.72,0.19083095374071957,0.02631578947368418,0.5180722891566265,0.10268067781088981,0.93525,0.93525,0.93525,0.86,0.86,0.86,0.5375,0.5375,0.5375,0.0,1,2,1.1176470588235294,1,2,1.1176470588235294,1.0,42.666666666666664,21.1265306122449,0.6530612244897959,96.0,32.30879008746356,1.75,96.0,36.18486394557823,4.571428571428571,96.0,42.655102040816324,0.125,49.0,4.389002267573696,0.125,7.0,1.0205215419501132,0.125,7.0,0.7705215419501134
00003_00009_01643,0.00285,0.5928,00003,9,10,9.75,16,2,7,0,8,8,8.0,4096,4096,4096.0,5,2,4,3.2,7,2,4,2.5714285714285716,1.0,49.0,62.0,16.0,128.0,62.0,0.4375,0.0,0.375,0.0,0.625,0.782608695652174,0.0,0.13043478260869565,16,0,0,6,1,0,0.02777777777777779,0.8830272546496666,0.39888539116738164,0.027027027027026973,0.5145631067961165,0.14512495874785095,0.0,0.8,0.35267222737102255,0.982,0.982,0.982,0.64,0.64,0.64,0.95,0.95,0.95,0.0,1,2,1.1538461538461537,1,4,1.4615384615384615,2.0,85.33333333333333,47.52380952380952,0.6530612244897959,96.0,40.019410430839,4.571428571428571,96.0,44.70476190476191,4.571428571428571,96.0,44.70476190476191,0.3333333333333333,49.0,7.416666666666667,0.3333333333333333,7.0,1.3541666666666665,0.3333333333333333,7.0,1.3541666666666665
00003_00008_00407,0.00285,0.42385,00003,9,10,9.75,10,1,7,0,8,8,8.0,2048,2048,2048.0,4,2,4,3.0,6,2,4,2.3333333333333335,1.0,455.0,51.0,1.0,128.0,51.0,0.7,0.0,0.4,0.0,0.6,0.5294117647058824,0.11764705882352941,0.11764705882352941,8,0,0,7,0,0,0.05714285714285716,0.9671412924424972,0.39518961128715646,0.0,0.9318181818181819,0.3544142725960908,0.02941176470588236,0.5180722891566265,0.13859134429651793,0.9835,0.9835,0.9835,0.96,0.96,0.96,0.5875,0.5875,0.5875,0.0,1,12,3.0,1,2,1.1818181818181819,0.5,85.33333333333333,38.05555555555555,0.15384615384615385,96.0,22.580991452991455,1.0,96.0,27.906666666666666,1.0,96.0,26.12205128205128,0.3333333333333333,455.0,92.08333333333333,0.3333333333333333,7.0,1.8333333333333333,0.3333333333333333,65.0,13.433333333333332
00003_00005_02290,0.00285,0.75535,00003,14,16,15.5,26,3,10,0,8,8,8.0,2048,2048,2048.0,6,2,4,3.3333333333333335,8,2,4,2.75,1.0,329.0,67.6923076923077,16.0,128.0,67.6923076923077,0.3076923076923077,0.2,0.46153846153846156,0.0,0.5384615384615384,0.6388888888888888,0.1111111111111111,0.19444444444444445,24,0,0,10,0,0,0.020408163265306145,0.957583184088981,0.34427866887494946,0.020408163265306145,0.5145631067961165,0.0744867407360912,0.0,0.912621359223301,0.32033931548494654,0.98875,0.98875,0.98875,0.55,0.55,0.55,0.975,0.975,0.975,0.0,1,2,1.0909090909090908,1,9,1.7272727272727273,1.1428571428571428,70.0,39.93412698412698,0.2127659574468085,96.0,34.57431533006001,1.4893617021276595,96.0,45.92995090016367,6.4,96.0,40.43076923076923,0.14285714285714285,329.0,26.279029304029304,0.14285714285714285,47.0,3.948901098901099,0.14285714285714285,7.0,0.9745421245421244
00003_00006_00002,0.00285,0.3392,00003,8,9,8.75,9,1,5,0,8,8,8.0,1024,1024,1024.0,4,2,4,3.0,6,2,4,2.3333333333333335,1.0,25.0,73.33333333333333,16.0,128.0,73.33333333333333,0.1111111111111111,0.4,0.4444444444444444,0.0,0.4444444444444444,0.6428571428571429,0.14285714285714285,0.21428571428571427,9,0,0,5,0,0,0.013698630136986356,0.922077922077922,0.3186521442172564,0.0,0.22340425531914898,0.0634200834468978,0.0,0.922077922077922,0.2583924183924184,0.946,0.946,0.946,0.28,0.28,0.28,0.925,0.925,0.925,0.2,1,1,1.0,1,12,3.2,2.0,128.0,67.33333333333334,1.28,96.0,33.46320987654321,6.4,128.0,44.303703703703704,6.4,96.0,53.8962962962963,0.5,12.0,4.203703703703704,0.25,12.0,3.212962962962963,0.5,1.6666666666666667,0.7962962962962963
00003_00008_00870,0.00285,0.3392,00003,7,7,7.0,8,0,2,0,8,8,8.0,704,704,704.0,3,2,4,2.6666666666666665,5,2,2,2.0,1.0,1558.0,24.25,1.0,44.0,24.25,0.25,0.0,0.5,0.0,0.5,0.4,0.2,0.4,6,0,0,2,0,0,0.5,0.9988505747126437,0.7682252724770301,0.5,0.9310344827586207,0.7456199084923557,0.0,0.9833333333333333,0.3277777777777778,0.99975,0.99975,0.99975,0.99,0.99,0.99,0.975,0.975,0.975,0.0,1,15,7.0,1,53,18.333333333333332,0.5,32.0,11.325925925925926,0.0006418485237483953,44.0,17.14301760498808,0.012195121951219513,44.0,24.003048780487806,0.05263157894736842,44.0,17.156015037593985,0.25,779.0,196.64583333333334,0.25,41.0,10.645833333333334,0.25,9.5,4.270833333333334
00003_00007_01594,0.00285,0.7389,00003,11,12,11.75,18,2,9,0,8,8,8.0,4096,4096,4096.0,5,2,4,3.2,7,2,4,2.5714285714285716,1.0,49.0,68.11111111111111,16.0,128.0,68.11111111111111,0.3888888888888889,0.2222222222222222,0.3333333333333333,0.0,0.4444444444444444,0.7037037037037037,0.14814814814814814,0.07407407407407407,18,0,0,8,1,0,0.027027027027026973,0.7660545092993333,0.21388884273789613,0.0,0.5145631067961165,0.15526818600667217,0.02631578947368418,0.5180722891566265,0.09067367322548711,0.908125,0.908125,0.908125,0.79,0.79,0.79,0.5625,0.5625,0.5625,0.0,1,2,1.2105263157894737,1,2,1.105263157894737,1.6,64.0,41.62222222222223,0.6530612244897959,96.0,33.489475938523555,4.571428571428571,96.0,40.904232804232805,4.571428571428571,96.0,46.237566137566134,0.25,49.0,6.607407407407408,0.25,7.0,1.251851851851852,0.25,7.0,1.2148148148148146
00005_00004_01754,0.00285,0.3392,00005,13,15,14.5,24,3,10,0,8,8,8.0,2048,2048,2048.0,6,2,4,3.3333333333333335,8,2,4,2.75,1.0,49.0,59.333333333333336,16.0,128.0,59.333333333333336,0.3333333333333333,0.2,0.4166666666666667,0.0,0.5833333333333334,0.7941176470588235,0.0,0.029411764705882353,24,0,0,10,0,0,0.058084772370486704,0.84208679377705,0.15910300226257895,0.020408163265306145,0.5145631067961165,0.08433904292761416,0.03703703703703709,0.6746987951807228,0.11139320418052737,0.870625,0.870625,0.870625,0.55,0.55,0.55,0.7125,0.7125,0.7125,0.0,1,2,1.1,1,3,1.2,1.3333333333333333,64.0,34.05333333333333,0.6530612244897959,96.0,31.992199546485264,4.571428571428571,96.0,39.18095238095238,4.571428571428571,96.0,37.84761904761904,0.16666666666666666,49.0,5.171825396825397,0.16666666666666666,7.0,0.9726190476190476,0.16666666666666666,7.0,1.0003968253968252
00005_00007_00667,0.00285,0.3392,00005,10,11,10.75,20,2,6,0,8,8,8.0,4096,4096,4096.0,5,2,5,3.6,7,2,4,2.5714285714285716,1.0,49.0,64.8,16.0,128.0,64.8,0.3,0.0,0.4,0.0,0.5,0.6923076923076923,0.15384615384615385,0.15384615384615385,18,0,0,6,0,0,0.052631578947368474,0.9649081763949,0.3877302649555791,0.0,0.854368932038835,0.21428446149319935,0.0,0.7590361445783133,0.2639584654407102,0.99175,0.99175,0.99175,0.89,0.89,0.89,0.925,0.925,0.925,0.0,1,7,1.75,1,4,1.625,1.3333333333333333,110.0,39.24848484848485,1.28,96.0,29.246140589569155,6.4,96.0,33.949523809523804,6.4,96.0,44.27809523809523,0.2,49.0,5.838333333333333,0.2,7.0,1.2049999999999998,0.2,7.0,1.0216666666666667
00005_00007_01202,0.00285,0.5684,00005,11,12,11.75,18,2,10,0,8,8,8.0,4096,4096,4096.0,5,2,5,3.6,7,2,4,2.5714285714285716,1.0,25.0,63.55555555555556,12.0,128.0,63.55555555555556,0.2222222222222222,0.4,0.5555555555555556,0.0,0.4444444444444444,0.5714285714285714,0.14285714285714285,0.14285714285714285,16,2,0,10,0,0,0.03737780333525009,0.7553191489361702,0.20963882697953662,0.0,0.7553191489361702,0.11403749133998901,0.0,0.5068493150684932,0.09804293783627746,0.9265,0.9265,0.9265,0.79,0.79,0.79,0.65,0.65,0.65,0.1,1,4,1.3,1,2,1.1,1.6,64.0,34.84444444444445,1.28,96.0,30.500246913580252,6.4,96.0,37.007407407407406,3.0,96.0,44.8962962962963,0.25,5.0,1.7555555555555555,0.25,1.5,0.6777777777777777,0.25,4.0,0.8814814814814814
